id_locadora+filial,id_filial,id_locadora,id_grupo,valor_total
617,7,61,1,287.97
617,7,61,3,287.97
617,7,61,15,289.08
617,7,61,1,293.56
617,7,61,3,336.14
617,7,61,3,385.45
617,7,61,3,430.27
617,7,61,1,430.27
617,7,61,3,433.62
617,7,61,15,451.56
617,7,61,14,456.03
617,7,61,6,460.52
617,7,61,3,504.23
617,7,61,6,546.79
617,7,61,1,657.73
617,7,61,3,704.79
617,7,61,15,822.45
617,7,61,1,833.65
617,7,61,12,857.18
617,7,61,1,873.99
617,7,61,6,977.08
617,7,61,6,986.06
617,7,61,12,1029.76
617,7,61,1,1142.93
617,7,61,1,1259.47
617,7,61,12,1327.83
617,7,61,6,1,376
617,7,61,6,1668.47
6142,42,61,3,108.67
6142,42,61,3,112.03
6142,42,61,3,113.14
6142,42,61,1,117.63
6142,42,61,3,124.36
6142,42,61,3,127.72
6142,42,61,3,129.96
6142,42,61,1,136.68
6142,42,61,3,137.8
6142,42,61,1,138.94
6142,42,61,3,149.01
6142,42,61,3,169.18
6142,42,61,3,184.87
6142,42,61,1,205.05
6142,42,61,3,205.05
6142,42,61,15,206.16
6142,42,61,1,208.4
6142,42,61,3,304.75
6142,42,61,6,314.86
6142,42,61,14,350.72
6142,42,61,3,385.45
6142,42,61,1,430.27
6142,42,61,3,430.27
6142,42,61,12,435.87
6142,42,61,15,451.56
6142,42,61,3,453.78
6142,42,61,6,460.52
6142,42,61,12,460.53
6142,42,61,6,546.79
6142,42,61,3,586.01
6142,42,61,1,653.26
6142,42,61,1,657.73
6142,42,61,12,671.17
6142,42,61,6,730.56
6142,42,61,14,738.42
6142,42,61,6,765.3
6142,42,61,10,766.43
6142,42,61,15,822.45
6142,42,61,1,873.99
6142,42,61,3,899.78
6142,42,61,6,919.96
6142,42,61,1,940.1
6142,42,61,3,110.14
6142,42,61,3,112.37
6142,42,61,3,114.63
6142,42,61,1,119.12
6142,42,61,3,125.87
6142,42,61,3,129.24
6142,42,61,3,130.37
6142,42,61,3,137.1
6142,42,61,1,138.22
6142,42,61,3,139.36
6142,42,61,1,139.36
6142,42,61,3,150.59
6142,42,61,3,171.94
6142,42,61,3,186.56
6142,42,61,15,207.91
6142,42,61,1,207.91
6142,42,61,3,207.91
6142,42,61,1,211.27
6142,42,61,3,305.68
6142,42,61,6,319.17
6142,42,61,14,351.79
6142,42,61,3,394.47
6142,42,61,3,436.06
6142,42,61,1,436.06
6142,42,61,12,437.19
6142,42,61,3,455.15
6142,42,61,15,457.45
6142,42,61,12,461.93
6142,42,61,6,466.42
6142,42,61,6,554.08
6142,42,61,3,587.79
